giftcode,code|code.pm3
hong ngoc,hngoc,hn|hong_ngoc.mp3
thoi vang,tvang,tv,vang, ngoc|vang_ngoc.mp3
test, open, op,mo lau,mo khi nao, mo chua, lau chua, khi nao, luc nao|game_moi_open.mp3
sv gi, sv nao, nro gi, nro nao, server nao, server gi, server j, sv j, nro j, game j, game gi, game nao, sever j, sever gi, sever nao, nr j, nr gi, nr nao|game_gi.mp3
mtv, kich hoat, phi tv, phi thanh vien, mo thanh vien|khong_mtv.mp3
hello, alo, xin chao, chao, helo, hi|nhan_vien.mp3
tai game, link, download|tai_game.mp3
moi choi, newbie, up dau, tnsm, tiem nang, suc manh|moi_choi.mp3
ho tro, htro, khung nv, khung gio|ho_tro_nv.mp3
ct, chien than, cthan|chien_than.mp3
tang toc, game cham, toc do|toc_do.mp3
server nao moi, sv nao moi, choi sv nao, choi server nao, choi sever nao, sever nao moi|server_nao.mp3
dame|dame.mp3
cam on, ok, oki, okey, okay|ok.mp3
spl,sao pha le|sao_pha_le.mp3
de tu, dtu, dt|de_tu.mp3
doi skill,doi duoc skill,msk,kaioken,kok,doi chieu,doi skill1,doi skill2,doi skill3,doi skill4,doi skill5|skill.mp3
suu tap, suu tam, quy dat|so_suu_tam.mp3
manh an|manhan.mp3
dao xanh, dao hong, qua dao|quadao.mp3
bong tai,mvbt,mhbt,porata,btai, b tai|bongtai.mp3
cuong no sieu cap,cuong no c2,cuong no 2,cuong no,item,cnsc,may do,cskb,ki bi,cn,bh,bo huyet,bo khi,bk|item.mp3
xu ngu,dong xu|dongxu.mp3
